"Station";"longitude";"latitude";"Matrix";"Substance";"Type";"CR";"Units";"Response";"ConfThresh";"ConfStatus";"Datatype"
"NORM-Stokken";10.866;57.263;"Biota";"HG";"HM";1.18237;"All";"+";"H";"H";"All"
"NORM-Stokken";10.866;57.263;"Biota";"PB";"HM";1.402259279;"All";"+";"H";"H";"All"
"NORS-3skelbaek";10.24067;56.709;"Biota";"BAP";"Org";0.2;"All";"+";"H";"H";"All"
"NORS-3skelbaek";10.24067;56.709;"Biota";"CD";"HM";1.063119172;"All";"+";"H";"H";"All"
"NORS-3skelbaek";10.24067;56.709;"Biota";"FLU";"Org";0.133333333;"All";"+";"H";"H";"All"
"NORS-3skelbaek";10.24067;56.709;"Biota";"HG";"HM";0.63529;"All";"+";"H";"H";"All"
"NORS-3skelbaek";10.24067;56.709;"Biota";"PB";"HM";0.831253362;"All";"+";"H";"H";"All"
"NORS-Ajstrup";10.2046;56.68903;"Sediment";"CD";"HM";0.411386732;"All";"+";"H";"H";"All"
"NORS-Ajstrup";10.2046;56.68903;"Sediment";"PB";"HM";0.060684539;"All";"+";"H";"H";"All"
"NORS-AlsMole";10.30666;56.75666;"Sediment";"ANT";"Org";1.041666667;"All";"+";"H";"H";"All"
"NORS-Blaakilde";9.81;56.64083;"Sediment";"ANT";"Org";2.58999122;"All";"+";"H";"H";"All"
"NORS-Blaakilde";9.81;56.64083;"Sediment";"CD";"HM";1.550350929;"All";"+";"H";"H";"All"
"NORS-Blaakilde";9.81;56.64083;"Sediment";"PB";"HM";2.723966622;"All";"+";"H";"H";"All"
"NORS-Bovet";11.103;57.295;"Sediment";"ANT";"Org";0.905797101;"All";"+";"H";"H";"All"
"NORS-Bovet";11.103;57.295;"Sediment";"PB";"HM";0.071156534;"All";"+";"H";"H";"All"
"NORS-Dania";10.06;56.69833;"Sediment";"ANT";"Org";0.014859724;"All";"+";"H";"H";"All"
"NORS-Dania";10.06;56.69833;"Sediment";"CD";"HM";0.821921699;"All";"+";"H";"H";"All"
"NORS-Dania";10.06;56.69833;"Sediment";"PB";"HM";0.49377268;"All";"+";"H";"H";"All"
"NORS-HadsundS";10.13307;56.71317;"Sediment";"ANT";"Org";1.349043716;"All";"+";"H";"H";"All"
"NORS-HadsundS";10.13307;56.71317;"Sediment";"CD";"HM";0.411569783;"All";"+";"H";"H";"All"
"NORS-HadsundS";10.13307;56.71317;"Sediment";"PB";"HM";0.070506811;"All";"+";"H";"H";"All"
"NORS-Horneks";11.01483;57.3305;"Sediment";"ANT";"Org";1.041666667;"All";"+";"H";"H";"All"
"NORS-Horneks";11.01483;57.3305;"Sediment";"CD";"HM";0.021124598;"All";"+";"H";"H";"All"
"NORS-Horneks";11.01483;57.3305;"Sediment";"PB";"HM";0.112173151;"All";"+";"H";"H";"All"
"NORS-KattegatV";10.51635;56.86833;"Sediment";"ANT";"Org";4.31547619;"All";"+";"H";"H";"All"
"NORS-skagen1.5sm";10.645;57.71667;"Sediment";"ANT";"Org";1.964285714;"All";"+";"H";"H";"All"
"NORS-skagen1.5sm";10.645;57.71667;"Sediment";"CD";"HM";0.051771668;"All";"+";"H";"H";"All"
"NORS-skagen1.5sm";10.645;57.71667;"Sediment";"PB";"HM";0.253149673;"All";"+";"H";"H";"All"
"NORS-Station2";10.54833;57.54867;"Sediment";"ANT";"Org";1.041666667;"All";"+";"H";"H";"All"
"NORS-Station4";10.6292;57.4562;"Sediment";"ANT";"Org";29.74137931;"All";"+";"H";"H";"All"
"NORS-Station5";10.7118;57.4817;"Sediment";"ANT";"Org";0.593267108;"All";"+";"H";"H";"All"
"NORS-Station5";10.7118;57.4817;"Sediment";"CD";"HM";0.162355903;"All";"+";"H";"H";"All"
"NORS-Station5";10.7118;57.4817;"Sediment";"PB";"HM";0.43525282;"All";"+";"H";"H";"All"
"NORS-Station9";10.648;57.31483;"Sediment";"ANT";"Org";0.863095238;"All";"+";"H";"H";"All"
"NSJ210018";10.74383;55.70167;"Sediment";"ANT";"Org";0.260416667;"All";"+";"H";"H";"All"
"NSJ210018";10.74383;55.70167;"Sediment";"CD";"HM";0.030869079;"All";"+";"H";"H";"All"
"NSJ210018";10.74383;55.70167;"Sediment";"PB";"HM";0.177497205;"All";"+";"H";"H";"All"
"NSJ220012";11.68833;55.80608;"Biota";"BAP";"Org";0.1;"All";"+";"H";"H";"All"
"NSJ220012";11.68833;55.80608;"Biota";"CD";"HM";1.231570513;"All";"+";"H";"H";"All"
"NSJ220012";11.68833;55.80608;"Biota";"FLU";"Org";0.039;"All";"+";"H";"H";"All"
"NSJ220012";11.68833;55.80608;"Biota";"HG";"HM";0.7975;"All";"+";"H";"H";"All"
"NSJ220012";11.68833;55.80608;"Biota";"PB";"HM";0.600591716;"All";"+";"H";"H";"All"
"NSJ220013";11.835;55.69717;"Biota";"BAP";"Org";0.1;"All";"+";"H";"H";"All"
"NSJ220013";11.835;55.69717;"Biota";"CD";"HM";1.366258741;"All";"+";"H";"H";"All"
"NSJ220013";11.835;55.69717;"Biota";"FLU";"Org";0.044666667;"All";"+";"H";"H";"All"
"NSJ220013";11.835;55.69717;"Biota";"HG";"HM";0.789315;"All";"+";"H";"H";"All"
"NSJ220013";11.835;55.69717;"Biota";"PB";"HM";0.672619688;"All";"+";"H";"H";"All"
"NSJ220014";11.6885;55.91117;"Biota";"BAP";"Org";0.1;"All";"+";"H";"H";"All"
"NSJ220014";11.6885;55.91117;"Biota";"CD";"HM";1.999825175;"All";"+";"H";"H";"All"
"NSJ220014";11.6885;55.91117;"Biota";"FLU";"Org";0.037;"All";"+";"H";"H";"All"
"NSJ220014";11.6885;55.91117;"Biota";"HG";"HM";1.71585;"All";"+";"H";"H";"All"
"NSJ220014";11.6885;55.91117;"Biota";"PB";"HM";0.683700914;"All";"+";"H";"H";"All"
"NSJ230011";12.59417;55.80283;"Biota";"BAP";"Org";0.112;"All";"+";"H";"H";"All"
"NSJ230011";12.59417;55.80283;"Biota";"CD";"HM";1.863286713;"All";"+";"H";"H";"All"
"NSJ230011";12.59417;55.80283;"Biota";"FLU";"Org";0.029;"All";"+";"H";"H";"All"
"NSJ230011";12.59417;55.80283;"Biota";"HG";"HM";1.92282;"All";"+";"H";"H";"All"
"NSJ230011";12.59417;55.80283;"Biota";"PB";"HM";1.507907477;"All";"+";"H";"H";"All"
"NSJ230015";12.31035;56.15618;"Sediment";"CD";"HM";0.031693671;"All";"+";"H";"H";"All"
"NSJ230015";12.31035;56.15618;"Sediment";"PB";"HM";0.051234754;"All";"+";"H";"H";"All"
"NSJ230016";12.70015;55.8268;"Sediment";"ANT";"Org";1.307525268;"All";"+";"H";"H";"All"
"NSJ230016";12.70015;55.8268;"Sediment";"CD";"HM";0.101836574;"All";"+";"H";"H";"All"
"NSJ230016";12.70015;55.8268;"Sediment";"PB";"HM";0.38024366;"All";"+";"H";"H";"All"
"NSJ240022";12.66237;55.51962;"Biota";"BAP";"Org";0.158;"All";"+";"H";"H";"All"
"NSJ240022";12.66237;55.51962;"Biota";"CD";"HM";2.511727855;"All";"+";"H";"H";"All"
"NSJ240022";12.66237;55.51962;"Biota";"FLU";"Org";0.055333333;"All";"+";"H";"H";"All"
"NSJ240022";12.66237;55.51962;"Biota";"HG";"HM";2.122365;"All";"+";"H";"H";"All"
"NSJ240022";12.66237;55.51962;"Biota";"PB";"HM";1.726896181;"All";"+";"H";"H";"All"
"NSJ823102";10.10833;55.16017;"Sediment";"ANT";"Org";0.298062593;"All";"+";"H";"H";"All"
"OBANK";14.6659943883333;54.500261055;"Water";"CS-137";"Rad";1.655160541;"All";"+";"H";"H";"All"
"ODER";14.2001538461538;54.0066669738462;"Sediment";"ANT";"Org";6.505217122;"All";"+";"H";"H";"All"
"ODER";14.2001538461538;54.0066669738462;"Sediment";"CD";"HM";2.909438843;"All";"+";"H";"H";"All"
"ODER";14.2001538461538;54.0066669738462;"Sediment";"PB";"HM";2.862022732;"All";"+";"H";"H";"All"
"ODER";14.2001538461538;54.0066669738462;"Water";"CS-137";"Rad";1.432209053;"All";"+";"H";"H";"All"
"Oderbank";14.14967;54.08433;"Sediment";"ANT";"Org";0.769230769;"All";"+";"H";"H";"All"
"Oderbank";14.14967;54.08433;"Sediment";"CD";"HM";0.870800868;"All";"+";"H";"H";"All"
"Oderbank";14.14967;54.08433;"Sediment";"PB";"HM";0.760121614;"All";"+";"H";"H";"All"
"OLK2";21.4033066;61.2316934;"Water";"CS-137";"Rad";1.791111111;"All";"+";"H";"H";"All"
